		
"normalized area, average for each treatment"		
		
 GeoID 	  Average Bare  	 Average Bare 
comp119983_c2_seq1	 0.852356 	 0.751375 
comp120012_c0_seq1	 0.007112 	 0.007090 
comp120025_c0_seq1	 0.004593 	 0.004478 
comp120025_c0_seq2	 0.004593 	 0.004478 
comp120031_c1_seq1	 0.002003 	 0.001848 
comp120120_c0_seq1	 0.003274 	 0.003473 
comp120127_c0_seq1	 0.005335 	 0.004896 
comp120140_c0_seq2	 0.095777 	 0.105596 
comp120165_c0_seq1	 0.008778 	 0.011704 
comp120183_c0_seq1	 0.004943 	 0.005827 
comp120237_c0_seq1	 0.012939 	 0.011747 
comp120254_c1_seq1	 0.001648 	 0.001079 
comp120302_c1_seq1	 0.021101 	 0.017841 
comp120380_c0_seq1	 0.009180 	 0.008246 
comp120380_c0_seq2	 0.009180 	 0.008246 
comp120400_c0_seq1	 0.007091 	 0.008568 
comp120400_c0_seq2	 0.007091 	 0.008568 
comp120416_c0_seq1	 0.255143 	 0.250409 
comp120422_c0_seq1	 0.008755 	 0.017547 
comp120460_c0_seq1	 0.001753 	 0.001067 
comp120500_c0_seq1	 0.007794 	 0.006257 
comp120500_c0_seq2	 0.008071 	 0.008634 
comp120500_c0_seq3	 0.007794 	 0.006257 
comp120538_c0_seq1	 0.364866 	 0.369153 
comp120579_c0_seq2	 0.004219 	 0.003350 
comp120581_c0_seq1	 0.101257 	 0.087319 
comp120581_c0_seq2	 0.101257 	 0.087319 
comp120618_c1_seq1	 0.001621 	 0.001126 
comp120634_c0_seq2	 0.000986 	 0.000951 
comp120665_c1_seq1	 0.010111 	 0.007986 
comp120734_c0_seq1	 0.004437 	 0.005412 
comp120766_c0_seq1	 0.005296 	 0.007995 
comp120766_c0_seq2	 0.005296 	 0.007995 
comp120788_c0_seq1	 0.001487 	 0.000710 
comp120808_c0_seq1	 0.038231 	 0.049862 
comp120811_c1_seq1	 0.130508 	 0.115211 
comp120811_c1_seq2	 0.070411 	 0.057208 
comp120845_c0_seq1	 0.055888 	 0.039497 
comp120847_c0_seq1	 0.007824 	 0.006926 
comp120847_c0_seq4	 0.004322 	 0.002052 
comp120889_c0_seq1	 0.005949 	 0.004027 
comp120894_c0_seq2	 0.000379 	 0.000472 
comp121095_c1_seq1	 0.118435 	 0.115280 
comp121095_c1_seq2	 0.047984 	 0.041447 
comp121095_c1_seq5	 0.118435 	 0.115280 
comp121104_c0_seq1	 0.039458 	 0.035318 
comp121106_c0_seq1	 0.015117 	 0.022336 
comp121106_c0_seq2	 0.006406 	 0.012673 
comp121234_c0_seq1	 0.083257 	 0.070310 
comp121234_c0_seq2	 0.043201 	 0.040784 
comp121287_c2_seq1	 0.001374 	 0.001068 
comp121308_c0_seq1	 0.011474 	 0.010947 
comp121326_c0_seq1	 0.000883 	 0.003176 
comp121326_c2_seq1	 0.002706 	 0.002469 
comp121340_c1_seq1	 0.002853 	 0.003545 
comp121340_c2_seq1	 0.004025 	 0.003657 
comp121340_c2_seq2	 0.004025 	 0.003657 
comp121389_c0_seq1	 0.002564 	 0.003259 
comp121401_c1_seq1	 0.024701 	 0.025352 
comp121406_c0_seq1	 0.015680 	 0.016129 
comp121414_c4_seq1	 0.000545 	 0.000357 
comp121414_c5_seq1	 0.001615 	 0.001046 
comp121435_c0_seq1	 0.002154 	 0.001926 
comp121435_c0_seq2	 0.072552 	 0.066922 
comp121458_c0_seq1	 0.002317 	 0.005214 
comp121464_c0_seq1	 0.015291 	 0.013902 
comp121464_c1_seq1	 0.033335 	 0.029638 
comp121464_c1_seq2	 0.033335 	 0.029638 
comp121573_c1_seq1	 0.002900 	 0.001661 
comp121610_c1_seq1	 0.005582 	 0.004232 
comp121626_c0_seq1	 0.009662 	 0.009669 
comp121626_c0_seq2	 0.009662 	 0.009669 
comp121639_c1_seq1	 0.011715 	 0.015448 
